#name,Babylon English-Korean
#version,2.4.2
#wordcount,68893
#synwordcount,61071
#idxfilesize,1256836
#author,Babylon Ltd.
#email,linguistic-support@babylon.com
#description,This comprehensive English-Korean dictionary contains words, phrases, abbreviations & acronyms. It includes terms from a vast variety of subjects, such as Medicine, Electronics, Zoology, Business, Computers, Religion, etc., and features both the American and British forms of spelling.
#sametypesequence,h
#sourceLang,English
#targetLang,Korean
#,n. 번호임을 나타내는 기호
%,n. 퍼센트를 나타내는 기호
&,n. 
weight about,v. 거드름피우다
weight around,v. 거드름피우다
weight cargo,n. 중량화물
weight lifter,n. 역도선수
weight lifting,역도
weight of care,n. 근심
weighted,adj. 무거운, 무게가 있는, 비중이 있는
weightless,adj. 무게가 없는, 무게가 거의 없는
weightless state,n. 무중력상태
weightlessly,adv. 무게없이, 중량없이, 무겁지 않게
weightlessness,n. 무중력
weightlifting,n. 역도
weights and measures,n. 도량형
weighty,adj. 무거운, 무게를 가진, 중요한, 답답하게 내리누르는
weir,n. 둑, 어량, 가리
weird,n. 운; adj. 이상한, 기묘한, 기이한; 불가사의한, 초자연적인; 운명의 (고어)
weirdie,n. 기묘한 사람, 이상한 사람
weirdly,adv. 이상하게, 기묘하게
weirdness,n. 이상함, 기묘함
weirdo,n. 기묘한 사람, 이상한 사람
weirdy,n. 기묘한 사람, 이상한 사람
Welch,n. 웨일스 사람, 웨일스 말; adj. 웨일스의, 웨일스 사람의, 웨일스 말의; v. 빚을 떼어 먹다
welcome,n. 환영, 반김; v. 환영하다, 기꺼이 받아들이다; 반기다; adj. 환영받는; 반겨지는; 자유로운, 동의하는
welcome and send off,n. 영송
welcoming,adj. 환영하는
weld,n. 용접점; 용접하기; v. 용접하다; 연결하다; 용접되다
weld into,v. 결합하다
welder,n. 용접공
welding,n. 용접기술, 용접
welfare,n. 복지, 복리; 행복, 번영; 지원; 궁핍한 사람들에게 행해지는 재정적 도움
welkin,n. 창공
well,n. 우물; 샘; 원천; 충치; 어선의 활어조(항해); v. 뿜어내다, 솟아나오다; 분출하다; 모이다(물이); adj. 건강하게; 좋은; 만족하는; 적당한, 올바른; 형편이 좋은; 괜찮은; adv. 훌륭하게, 잘; 적당하게, 적절하게; 중대히; 능숙하게; interj. 글쎄; 그래; 오케이
well advertised,adj. 요란하게 선전하는
well advised,생각이 깊은, 분별 있는, 차분한, 신중한
well affected,adj. 호의를 갖고 있는, 호감을 갖고 있는, 충실한
well appointed,준비가 다 갖추어진, 장비가 완전한
well balanced,균형이 잡힌, 제정신의, 상식 있는, 정신이 온전한, 온건한
well behaved,행실이 단정한, 품행이 단정한
well being,안녕, 복리, 평안>
well beloved,adj. 마음속으로부터 귀염을 받는, 마음속으로부터 사랑을 받는
well bred,좋은 가문에서 자란, 교육을 잘 받은, 예절 바른, 행실이 좋은, 얌전한, 혈통이 좋은
well bucket,n. 두레박
well built,체격이 좋은
well cared for,자상한, 잘된
well conditioned,행실이 바른, 생각이 바른, 선량한, 도덕적으로 건전한, 건강한
well conducted,예의 바른, 품행이 방정한, 관리가 잘된
well connected,집안이 좋은, 친척이 좋은, 문벌이 좋은
well content,adj. 매우 만족한, 마음껏 즐긴
well deck,n. 요갑판
well defined,뚜렷한, 정의가 명확한
well designed,adj. 잘 설계된, 잘 계획된
well developed,adj. 잘 발달된, 충분히 손질된
well directed,바르게 방향 지워진, 바르게 방향 지도된
well disciplined,adj. 잘 단련된, 규율에 일치된, 규범에 일치된
well disposed,마음씨 고운, 친절한, 호의를 가진, 잘 배치한
well doer,n. 선행자, 덕행자
well doing,선행, 덕행
well done,잘 구워진, 잘 익은, 충분히 요리된
well dressed,adj. 좋은 옷을 입은
well earned,adj. 자기 힘으로 획득한, 자기 노력으로 획득한
well earned punishment,n. 자업자득
well educated,adj. 잘 교육된
well established,기초가 튼튼한, 확립된, 정착된
well favored,adj. 미모의, 잘 생긴
well favoured,adj. 미모의, 잘 생긴
well fixed,adj. 유복한, 잘 사는
well formed,adj. 적격의, 모양이 좋은
well found,충분히 장비를 갖춘, 충분히 준비를 갖춘, 충분히 시설을 갖춘
well founded,사실에 입각한, 근거가 충분한
well groomed,손질이 잘 되어 있는, 몸차림이 단정한
well grounded,기초 교육을 받은, 기초 훈련을 받은
well grown,adj. 발육이 좋은
well handled,adj. 관리가 잘된, 운영가 잘된, 여러 사람이 만진, 신중히 다루어진, 솜씨 있게 다루어진
well heeled,부유한, 넉넉한, 무장을 갖춘, 안전한
well hung,adj. 충분히 매달아 둔, 잘 어울리는, 잘 돌아가는, 유방이 큰, 성기가 큰
well informed,견문이 넓은, 박식한, 잘 알고 있는, 전문적 지식을 갖고 있는
well intentioned,선의의, 선의로 한
well judged,판단이 올바른, 적절한
well kept,adj. 간수가 잘 된, 손질이 잘 된
well knit,튼튼한, 강건한, 건장한, 정연한
well known,잘 알려진, 친한, 주지의
well known painter,n. 유명한 화가
well liking,adj. 건강하고 넉넉하게 보이는
well lined,돈이 가득 들어 있는, 가득찬
well made play,n. 신중하게 계산된 연극
well man,n. 스크리닝 테스트 남성 진료소
well mannered,예의 바른, 착한, 공손한, 점잖은
well marked,뚜렷이 식별되는, 눈에 띄는, 두드러진
well mounted,adj. 훌륭한 말을 탄
well nigh,거의
well off,부유한, 잘 되어가고 있는, 순경에 있는
well off for,adj. ...을 풍부하게 가지고 있는
well ordered,질서가 잡힌
well paid,보수가 좋은, 좋은 보수를 받고 있는
well paying,adj. 좋은 보수를 지불하는, 보수가 좋은
well person,n. 스크리닝 테스트 남성 진료소
well placed,adj. 좋은 지위에 있는, 알맞은 장소에 설치된, 믿을 수 있는
well pleasing,adj. 만족스러운
well polished,adj. 잘 닦여진, 세련된
well preserved,adj. 잘 보존된, 새것처럼 보이는
well proportioned,균형이 잘 잡힌
well read,책을 많이 읽은, 박식한, 박학의, ...에 정통한
well regulated,조정이 잘 된, 잘 정돈된, 규칙이 잘 선, 규칙이 잘 서 있는
well reputed,adj. 호평의, 평판이 좋은
well rounded,adj. 포동포동 살이 찐, 균형이 잡힌, 다재 다능한, 만능의
well seeming,좋아 보이는
well set,건장한, 균형이 잡힌, 잘 짜인
well sinker,n. 우물 파는 사람
well spent,뜻 있게 사용된, 효과적으로 소비된
well spoken,말이 세련된, 표준영어를 쓰는, 말씨가 점잖은, 적절한, 호평의
well stacked,adj. 풍만한, 탄력이 있는
well suited,adj. 적절한, 편리한
well sweep,n. 반동식 두레박
well taken,adj. 근거가 확실한, 정당한
well thought of,존경받는, 평판이 좋은
well thought out,면밀한, 잘 생각하여 완성된
well timed,호기의, 때를 잘 맞춘, 때에 알맞은
well to do,부유 계급
well traveled,adj. 여행 경험이 풍부한, 여행에 익숙한, 교통량이 많은
well tried,많은 시련을 겪은
well trodden,잘 다져진, 사람이 많이 다니는
well turned,잘 표현된, 맵시 있는
well upholstered,adj. 뚱뚱한, 살집이 좋은
well wish,n. 호의
well wisher,남이 잘 되기를 바라는 사람, 남의 일이 잘 되기를 바라는 사람, 호의를 보이는 사람
well wishing,찬성, 남의 행복을 빔, 호의를 보임, 지지
well woman,n. 스크리닝 테스트를 받는 여성
well woman clinic,n. 스크리닝 테스트를 받아 질병을 예방하는 여성 진료소
well worn,써서 낡은, 닳아빠진, 진부한, 평범한
well-oiled,adj. 간살스러운, 취한, 능률적인
wellhead,n. 수원
Wellington,n. 웰링턴, 니유 찔란드의 수도, 웰링턴 부츠
wellspring,n. 원천, 자원
Welsh,n. 웨일스 사람, 웨일스 말; adj. 웨일스의, 웨일스 사람의, 웨일스 말의; v. 건 돈을 치르지 않고 도망치다, 빚을 떼어 먹다
Welshman,n. 웨일스 사람
Welshwoman,n. 웨일스 여자
welt,n. 대다리, 가장자리 뜨기, 가장자리 장식, 채찍 자국, 심한 구타; v. 대다리를 대다, 채찍 자국이 나게 때리다, 구타하다
welter,n. 뒹굴기, 너울거림, 혼란, 평균 체중 이상의 기수, 웰터급의 권투 선수, 말에 지우는 특별한 중량, 강타, 몹시 무거운 것, 몹시 큰 사람; v. 구르다, 굽이치다, 잠기다, 뒤흔들다, 비틀거리다
welterweight,n. 평균 체중 이상의 기수, 웰터급의 권투 선수, 말에 지우는 특별한 중량; adj. 웰터급의
wen,n. 혹, 대도시, 웬
wench,n. 처녀, 음탕한 여자, 하층계급의 여자, 하층 흑인의 여자; v. 매춘부와 놀다
Wend,n. 웬드족; v. 향하게 하다, 나아가다
wend one's way,가다
wept,v. 울다, 눈물을 흘리며 울다
weren't,v. ...에 없었다, ...은 아니였다, 과거형 동사
werewolf,n. 이리가 된 인간
werwolf,n. 이리가 된 인간
west,n. 서쪽; adj. 서쪽에 있는, 서쪽의; adv. 서쪽으로
West End,론돈의 서구
West Germany,서독, 1945년 영국과 프랑스 그리고 미국이 차지한 지역으로 부터 형성된 중유럽에 있는 나라 ( 1990년 동독과 통일함)
west wind,서풍
westbound,adj. 서쪽으로
westering,adj. 서쪽으로 향하는
westerlies,n. 서풍
westerly,adj. 서방의; 서쪽에 있는; 서쪽으로 부터; adv. 서방에
western,n. 서부 사람, 초기 미국 서부개척 시대의 삶의 예술적 표현; adj. 서쪽의; 서쪽에 있는; 서쪽으로 부터
western doctor,n. 양의
Western Europe,서유럽
western food,n. 양식
western painting,n. 양화
western style,n. 서양식, 양식
westerner,n. 서쪽 나라 사람
westernize,v. 서양식으로 하다
westernmost,adj. 가장 서쪽의
westing,n. 서행 항정
Westminster,n. 웨스트민스터, 영국 국회 의사당
westward,n. 서부, 서쪽; adj. 서쪽으로 향하는; adv. 서쪽으로, 서쪽에
wet,n. 습기; 축축함; 수분; 비; 비오는 날씨; v. 적시다; 축이다; 적셔지다; 오줌싸다; adj. 젖은; 눅눅한; 비내리는; 술취한(속어); (구어)주류 판매를 지지하는(미국)
wet blanket,결점을 들추는 사람, ...의 흥을 깨뜨리다
wet dreams,n. 유정
wet napkin,n. 기저귀
wet nurse,...의 유모가 되다
wet one's whistle,술을 마시다
wet pack,n. 습포
wet through,함빡 젖어서
wether,n. 거세한 숫양
wether ... or,conj. 거나
wetland,n. 저습지
wetness,n. 축축함, 강우, 습성
wetting,n. 젖게 하기, 축축하게 하기
whack,n. 구타; 엉뚱한 경험, 시험적인 경험(속어); 일부, 몫(속어); 적절한 작동(속어); v. 세게 치다; 시도하다(속어); 몫을 나누다(속어)
whack off,v. 잘라버리다
whack out,v. 기운차게 만들어내다
whack up,늘리다
whacked out,지칠 대로 지친
whacked to the wide,adj. 지쳐버려
whacker,n. 큰사람, 큰 것, 엄청난 거짓말
whacking,n. 강타, 치기; adj. 큰
whacky,adj. 괴팍스러운
whale,n. 고래; v. 고래잡이에 종사하다, 때리다
whale fin,n. 고래 수염
whale fishery,포경업
whale oil,고래 기름
whaleboat,n. 양끝이 뾰족한 보트
whalebone,n. 고래 수염, 그 제품
whalebone whale,n. 긴 수염고래
whaler,n. 고래잡는 사람
whaling,n. 고래잡이, 구타
whaling gun,n. 포경포
whang,n. 강타; v. 철썩 치다, 둥둥 울리다
wharf,n. 부두, 선창; v. 선창에 매다
wharfage,n. 선창사용료, 부두 사용료
what,n. 어떤 것을 물을 때 사용되는 용어; adj. 어떤 특정한 정보를 물을 때 사용되는 단어; 어떤, 무슨; adv. 의문대명사; 어떤, 무슨; 어느정도; 얼마나; 어떤 상황을 강조할 때 사용되는 단어; pron. 무엇, 무슨, 질문할 때 쓰는 의문대명사; interj. 정말?, 뭐라고? (놀람을 표현할 때 사용됨); conj. 병행관계를 나타낼때 쓰는 접속사
what ... like,adj. 어떤
what about,은 어떻게 되느냐, 어떻겠느냐
what for,이유, 꾸지람
what is more,게다가
what's his name,...의 이름이 무엇입니까
whatever,adj. 무엇이든지; 어떤것; pron. 무엇이든지
whatman,n. 워트먼지
whatnot,n. 이것저것, 특정하게 정해지지 않은 모든 것; 선반
whatsoever,adj. 어떠한 ...이라도, 설사 ...이라도; pron. 무엇이든지
wheat,n. 밀, 밀가루를 만드는 곡물
wheat flour,n. 밀가루
wheatear,n. 밀 이삭, 흰머리딱새 무리
wheatstone bridge,휘트스톤 브리지
wheedle,v. 감언이설로 꾀다, 솔깃한 말로 속이다
wheedlingly,adv. 감언 이설로
wheel,n. 바퀴, 수레바퀴; 운전대; 디스크; 회전; v. 움직이다; 선회시키다; 방향을 바꾸다; 회전하다; 운전하다
wheel and axle,윤축
wheel and deal,수완을 부리다
wheel base,n. 축거
wheel of a spinning wheel,n. 물레 바퀴
wheel of life,n. 그림을 돌리면 실물이 움직이는 것처럼 보이는 장난감
wheelbarrow,n. 일륜차, 손수레
wheelchair,n. 바퀴 달린 의자, 휠체어
wheeled,adj. 바퀴 달린; 바퀴로 움직이는
wheeler,n. 짐수레꾼, 뒷말, 충실한 노력가, 조타실, 바퀴 달린 것, 수레 목수
wheeler dealer,정치나 장사에 능란한 활동가
wheelhouse,n. 조타실, 뒷말, 충실한 노력가
wheeling,n. 수레로 나르기, 자전거 타기, 노면의 상태, 윤전
wheelman,n. 자전거 타는 사람
wheels of life,n. 인체 여러 기관의 작용
wheels within wheels,바퀴 안의 바퀴
wheelsman,n. 타수
wheelwright,n. 수레 목수
wheeze,n. 씩씩거리는 숨; 케케묵은 이야기; 낡아빠진 재담; v. 색색거리며 숨쉬다; 색색거리는 소리를 내다; 색색 거리면서 이야기 하다
wheeziness,n. 숨을 색색 거림
wheezing,n. 색색 거리는 소리; 색색 소리내며 힘겹게 숨쉬기; adj. 숨을 색색 거리는
wheezingly,adv. 숨을 헐떡거리며, 마른기침을 하며, 숨을 색색거리며
wheezy,adj. 색색 거리며 숨쉬는
whelk,n. 쇠고둥류의 식용 조개, 뾰루지
whelm,v. 압도하다, 삼키다
whelp,n. 강아지, 버릇 없는 아이; v. 새끼를 낳다
when,n. ...하는 때; adv. 언제; ...한 시간에; ...한 때; pron. 언제, 때를 물을 때 사용하는 의문 대명사; conj. 접속사, 언제
whence,adv. 어디로부터, 어떻게, 왜; conj. 어디에서; 무엇으로부터
whenever,adv. 언제라도; 아무때나; conj. 언제라도; 아무때나
where,n. 장소; 어떤 사건이 일어난 장소; adv. 어디에; 어떻게; 어디로?; 어디에서; pron. 장소를 물을 때 사용하는 의문 대명사, 어디에; conj. 어디에; ...한 곳에; ...한 때에; 어디로; ...한 장소에
whereabouts,n. 소재, 위치, 장소; 물건이나 사람이 있는 장소; 거주지, 주거지; adv. 어디쯤에, ...의 장소
whereas,conj. 이므로; ...에 반하여
whereat,adv. 무엇에 대하여, 한 바의
whereby,adv. ...에 의해, ...을 통해; 어떻게
wherefore,n. 까닭; adv. 무슨 이유로, 왜, 그런 이유로
wherein,adv. 어떤 점으로, 어떤 점에서
whereof,adv. 무엇의, 그것의
whereon,adv. 무엇 위에, 그 위에
whereupon,adv. 무엇 위에, 그 위에, 그래서
wherever,adv. 어디에?; conj. 어느 곳이나; 어느 곳에서나; 어느 곳으로; 어디든지
wherewith,adv. 무엇으로, 그것을 가지고
wherewithal,n. 자금
wherry,n. 나룻배, 일인승 스컬, 큰 하천용 너벅선
whet,n. 갈기, 자극, 자극물; v. 갈다, 자극하다
whether,conj. 인지 어떤지, 이든지 아니든지
whetstone,n. 숫돌, 자극물
whew,interj. 아휴
whey,n. 유장
whey face,n. 파랗게 질린 얼굴
which,adj. 무엇; 무엇으로; 무엇을 위해; 무엇이나; pron. 무슨, 어떤 것
which thing,n. ...하는 것
whichever,adj. 어느쪽이나; 어느 것이나; 아무것이나; pron. 어느 것이나
whicker,n. 말의 울음 소리
whiff,n. 한번 불기, 한번 내뿜기, 작은 엽궐련, 빨아들이기, 헛치기, 경조용 스컬, 가벼운 화풀이, 가벼운 노여움, 가자미의 일종; v. 빨다, 담배를 피우다, 불쾌한 냄새가 풍기다, 헛치다, 주낙질하다, 낚시질하다
whiffle,v. 살랑거리다, 되는 대로 지껄이다, 흔들리다, ...을 날리다, 흔들리게 하다
whiffy,adj. 냄새가 확 풍기는
Whig,n. 휘그당원, 휘그당, 독립당원; adj. 휘그당원의, 휘그당의
while,n. 때; 동안; 잠시동안; 노력; conj. ...하는 동안; 하지만; 한다면
whiles,conj. ...하는 동안, 하지만, 그런데
whilom,adj. 이전의; adv. 일찍이
whilst,conj. ...하는 동안, 하지만, 그런데
whim,n. 변덕, 일시적 기분; 광산의 권상기
whimper,n. 흐느낌; v. 훌쩍훌쩍 울다, 흐느껴울다
whimperingly,adv. 흐느껴 울며
whimsical,adj. 변덕스러운; 이상한
whimsicality,n. 변덕, 변덕 스러움, 별스러운 짓
whimsically,adv. 변덕스럽게; 즉흥적으로; 기묘하게
whimsy,n. 변덕, 기발한 말, 기발한 행동
whine,v. 구슬피 울다; 흐느껴 울다; 투덜대다
whiner,n. 흐느껴 우는 사람, 투덜대는 사람
whinger,n. 단검
whinny,n. 말의 울음 소리; v. 나지막이 울다, 기분 좋은 듯이 울다
whip,n. 매; 채찍; 채찍과 같은 물건; 원내 총무; 달걀 흰자를 거품으로 만드는 도구, 거품기; 탄력성 (운동); v. 때리다, 채찍질하다; 세차게 치다, 거품이 되게 하다; 잡아채다; 홱 움직이다; 이기다; 끈으로 감다
whip away,채찍으로 쫓아버리다, 홱 낚아채다, 갑자기 출발하다, 갑자기 데리고 가다
whip back,v. 되튀어 오다
whip bird,n. 호주에 서식하는 딱새과의 새
whip crane,n. 간이 기중기, 간이 기중기 뱃짐 하역용
whip hand,오른손, 지배, 우위
whip in,채찍으로 불러들이다, 등원에 힘쓰도록 하다
whip into shape,v. ...을 형체를 갖추게 하다
whip poor will,쏙독새의 무리
whip round,기부 권유
whip saw,v. 가늘고 긴 톱으로 켜다, 결탁하여 이기다
whip snake,n. 채찍뱀, 꼬리가 채찍처럼 가느다란 뱀
whip stall,n. 급상승 실속
whip up,채찍질하여 뛰게 하다, 홱 잡아채다, 재빠르게 만들다
whipcord,n. 채찍 끈
whiplash,n. 채찍 끝의 나긋나긋한 부분; 목뼈의 골절
whipped,adj. 달걀이나 크림 따위를 거품이 나게 때리는; 매질하는; 이긴
whipped cream,거품을 일게 한 생 크림, 거품을 일게 한 케이크용
whipper in,사냥개 지휘자, 원내총무, 꼴찌한 말
whippersnapper,n. 하찮은 사람
whippet,n. 위피트, 경전차
whipping,n. 채찍질; 때리기; 패배(스포츠)
whipping boy,대신 매를 맞는 소년, 대신 당하는 자
whipping top,채로 치는 팽이
whippy,adj. 채찍 모양의, 탄력이 있는, 탄성이 있는
whipster,n. 채찍을 쓰는 사람, 하찮은 사람
whipstitch,n. 감치기; v. 감치기하다
whir,n. 씽 하는 소리; v. 씽 소리내며 날다
whirl,n. 회전, 선회; 빙빙 돌기; 소동; 혼란; 시도(구어); v. 소용돌이치다; 핑핑 돌리다; 현기증이 나게 하다; 현기증이 나다; 급히 가다
whirl away,질주하다
whirl round,v. 뱅글뱅글 돌며 날다
whirlabout,adj. 빙빙 도는; n. 선회, 선회 작용, 회전하는 장난감, 회전운동, 물매암이
whirligig,n. 회전하는 장난감, 회전운동, 물매암이
whirlpool,n. 소용돌이
whirlwind,n. 선풍, 돌풍; 소용돌이 치는 것; 파괴적인 것
whirly bird,헬리콥터
whirr,n. 윙윙하는 소리
whisk,n. 총채, 양복솔, 묶음, 휘젓는 기구, 털기; v. 먼지를 털다; 솔질하다; 휙 채어가다; 민첩하게 움직이다; 거품을 내다
whisker,n. 구렛나루; 수염; 입주위에 난 동물의 수염
whiskered,adj. 구레나룻가 난; 동물의 입주위에 긴 수염이 있는
whiskers,n. 구레나룻
whiskey,n. 위스키
whisky,n. 위스키
whisky sour,위스키 사워
whisper,n. 속삭임; 속삭이는 소리; 중얼거리는 소리; 소문; 암시; v. 속삭이다; 살랑거리다; 잡담하다; 소문을 퍼뜨리다; 음모를 꾸미다
whisper in someone's ear,낮은 목소리로
whispered,adj. 속삭이는; 중얼거리는
whisperer,n. 속살거리는 사람
whispering,n. 속삭임; 중얼거림; 소문; adj. 속삭이는
whist,n. 휘스트놀이, 침묵
whistle,n. 휘파람; 호루라기; 휘파람 불기; v. 휘파람 불다, 호루라기를 불다; 휭하니 공기를 가르는 소리를 내며 움직이다; 휘파람으로 누구를 부르다
whistle down the wind,v. 놓아주다
whistle for,v. 휘파람으로 부르다, 구하여도 소용없다, 바라도 소용없다
whistle in the dark,대담한 체하다, 침착한 체하다
whistle up,휘파람으로 부르다, 만들다
Whistler,n. 제임스 애보트 맥닐 위슬러(1834-1903), 미국의 작가 겸 예술가, ; n. 휘파람 부는 사람, 밀고자, 마모트, 천식 앓는 말
whistling,adj. 휘파람을 부는; n. 휘파람, 천식
whit,n. 조금
White,n. 와이트, 이름(성); n. 하얀색; 하얀색의 것; 어떤 것의 하얀색 부분(계란의 흰자); 하얀 피부를 가진 사람, 코카서스인; adj. 흰색의; 색소가 부족한; 하얀 피부의, 코카서스인의; 순수한; 백지의; 하얀옷을 입은; 눈으로 하얗게 뒤덮힌; 정치적으로 보수적인
white agate,n. 백색 옥수
white alert,n. 경보 해제
white alloy,n. 백색 합금
white ant,흰개미, 비밀리에 ...의 파괴 공작을 하다
white australia,n. 백인 독점의 오스트레일리아, 백호주의
white backlash,n. 백인의 반발, 백색 반동
white bear,흰곰, 북극곰
white beet,사탕무, 사탕무우
white birch,n. 자작나무, 흰자작나무
white blood cell,n. 백혈구
white book,n. 백서
white bread,흰빵; 보통의 것(속어)
white cabbage,흰나비의 무리
white cedar,편백의 일종, 그 재목
white cell,n. 백혈구
white clothes,n. 흰옷
white clover,n. 흰꽃클로버, 흰토끼풀
white coal,물, 수력, 전력
white coffee,우유 탄 커피, 크림 탄 커피
white collar,화이트 칼라층의, 화이트 칼라층에 속하는, 화이트 칼라층에 특유한, 두뇌 노동자의, 봉급 생활자의, 샐러리맨용의, 샐러리맨의
white collar crime,화이트 칼라족의 범죄, 공무원이나 회사원의 부정 행위
white collar criminal,n. 탈세 범인, 횡령 범인, 유용 범인, 증수회 범인
white collar worker,봉급 생활자, 인텔리 직업인
white continent,n. 흰 대륙, 남극 대륙
white corpuscle,n. 백혈구
white crow,흰 까마귀, 진기한 것, 이집트 독수리
white daisy,n. 프랑스 국화
white day,n. 재수 좋은 날, 길일
white dew,n. 백로
white dress,n. 백의, 흰옷감
white dwarf,n. 백색왜성
white elephant,흰코끼리; 성가신 물건, 처치 곤란한 물건
white english,n. 백인 영어
white ensign,백색기, 영국 군함기
white faced,안색이 창백한, 얼굴이 흰, 얼굴에 흰 부분이 있는, 표면이 흰
white father,n. 아프리카 파견 선교사, 아프리카 파견 선교사 단의 일원
white feather,n. 겁쟁이의 증거, 겁쟁이
white finger,n. 백랍병
white flag,백기, 항복기, 휴전기
white flight,n. 도심에서 교외로의 전거
white friar,n. 카르멜회의 수사, 카르멜 수도회의 수사, 가르멜회의 수사, 가르멜 수도회의 수사
white frost,흰 서리, 서리
white gas,n. 무연 가솔린
white gasoline,n. 무연 가솔린
white girl,n. 코카인
white gloves,n. 흰 장갑
white glow,n. 백열
white gold,화이트 골드, 주석 또는 구리 등을 섞은 플래티나대용의 합금
white goods,n. 리넨류, 리넨류 시트 등, 리넨류 테이블보 등, 리넨류 타월 등, 대형 가정용품
white haired,백발의, 흰 털로 덮인, 마음에 드는
white handed,손이 흰, 노동하지 않은, 결백한
white hands,n. 흰 손, 결백
white headed,백두의, 백발의, 마음에 드는
white heat,백열, 극도의 긴장, 격앙상태, 치열한 상태
white hole,n. 화이트 홀
white hope,큰 공헌이 기대되는 사람
white horses,흰 물결
white hot,백열의, 아주 열심인, 열렬한, 흥분한
White House,백악관, 미국 대통령의 직, 미국 대통령의 권위, 미국 대통령의 의견, 미국 정부
white house chief of staff,n. 대통령 수석 보좌관
white knight,n. 정치 개혁자, 운동가, 경영권을 인계당할 위기의 회사를 살리기 위한 회사
white lady,코카인, 백의의 부인, 백의의 귀부인
white lead,백연, 연백, 탄산연, 퍼티, 떡밥
white leather,n. 무두질한 흰 가죽
white lie,악의 없는 거짓말
white light,백색광, 공정한 판단
white lightning,n. 자가 양조의 위스키, 자가 밀조의 위스키
white line,하얀선, 도로의 하얀선
white lipped,입술의 핏기가 사라진, 입술이 새파랗게 질린
white list,n. 바람직한 것의 리스트
white livered,겁많은, 혈색이 나쁜, 창백한
white magic,n. 병을 낫게 하거나 좋은 일이 생기게 하기 위하여 사용하는 선의의 마술
white mail,n. 화이트 메일
white man,백색인종PWhwa026A;tm0259;n /w-
white man's burden,n. 백인의 책무
white market,n. 합법적 시장, 합법적 거래
white matter,n. 백질
white meat,흰고기
white minority rule,n. 백인 소수 지배
white mountains,n. 화이트 산맥
white nigger,n. 흑인의 시민권을 옹호하는 백인
white night,백야, 잠 못 이루는 밤
White Nile,백나일
white noise,백색 잡음
white oak,n. 떡갈나무
white of an egg,n. 자위
white of the eye,흰자위
white paper,n. 백지, 백
white pepper,흰 후추
white peril,n. 백화
white pine,n. 스트로부스소나무, 그 재목
white plague,n. 폐결핵, 헤로인 중독
white poplar,백양, 사시나무
white potato,n. 감자
white primary,n. 백인 예비 선거회
white race,백 인종, 백색인종
white rat,n. 백서
white ribbon,n. 흰 리본
white room,n. 무균실, 무진실
White Russia,백러시아
white russian,n. 백러시아 사람, 백계 러시아 사람
white sale,n. 백포
white sauce,n. 화이트 소스
white scourge,n. 폐결핵
white sea,n. 백해
white sheep,n. 백양
white sheet,흰옷, 백의
white slave,백인 소녀, 백인 여성, 매춘부, 백인 노예
white slavery,n. 매춘부 매매, 강제 매춘업, 강제 매춘, 매춘부의 처지
white space,여백
white spirit,n. 백유, 휘발유
white squall,무운 돌풍
white stuff,n. 코카인, 모르핀, 헤로인, 밀주용 알코올, 밀조 위스키
white supremacist,백인 우월론자
white supremacy,백인 우월주의
white tea commune,n. 가난한 인민 공사
white tie,n. 흰 나비넥타이, 정장
white trash,가난한 백인
white vine,n. 백 포도주
white vitriol,n. 황산아연, 호반
white war,n. 유혈 없는 전쟁
white water,n. 거품이 이는 물, 맑은 바닷물
white water rafting,adj. 뗏목이나 고무보트로 강의 급류를 타고 내려가기
white wax,n. 백랍
white way,n. 번화가, 불야성
white whale,흰돌고래
white wine,백포도주
white witch,n. 착한 마녀
whitebait,n. 뱅어, 정어리 등의 새끼, 청어 등의 새끼
whitebeam,n. 마가목류
whitebeard,n. 늙은이, 노인, 옹
whiteboard,n. 희고 매끄러운 칠판
whiteboy,n. 총애받는 사람, 총아, 백의 당원
whitecap,n. 흰 물결, 백파, 흰 모자를 쓴 사람
Whitechapel,n. 화이트채플, 런던의 동부에 있는 지구
whitechapel cart,바퀴가 둘인 소형 짐수레
Whitehall,n. 관청, 관청 정치, 화이트 홀
whiten,v. 희게 하다, 희어지다; 색이 바래다; 표백하다
whitener,n. 표백제, 하얗게 하는 것 또는 사람
whiteness,n. 하얀상태; 하얀 물질; 창백함; 깨끗함, 순결
whitening,n. 희게 함, 희게 됨, 탈색시킴
whites,n. 백포 제품, 백대하
whitesmith,n. 양철공
whitethorn,n. 산사 나무속
whitewash,n. 수성 백색 도료; 겉치레, 숨기기; 압도적인 패배(스포츠); v. 희게 회칠하다; 겉칠하여 속이다; 영패시키다(스포츠)
whitewashed,adj. 희게 칠해진; 겉치레 된; 완패당한(운동)
whitey,n. 백인, 백인 사회
whither,adv. 어디로, 그 곳으로
whiting,n. 대구의 무리, 민어의 무리, 호분
whitish,adj. 희끄무레한
whitlow,n. 표저, 제관염
whittle,n. 큰칼; v. 베다, 덜다, 고뇌로 심신이 모두 지치다, 초조로 심신이 모두 지치다
whittle away,애쓰다
whittle down,애쓰다, 깎다
whiz,n. 윙, 민완가; v. 씽 소리나다, 윙 소리나다, 윙 소리나게 하다, 핑 소리나게 하다, 씽 소리나게 하다, 원심탈수기에 걸다
whizz,n. 윙윙거리는 소리
whizz bang,일류의
whizz kid,신동
